,F,S_parameter,best_val_mse,best_val_R2,test_mse,test_R2
71,60000000000.0,"P(1,4)",0.00014776385796722025,0.9998363125121268,0.0022869533859193325,0.997044713889912
72,60000000000.0,"A(2,1)",0.02721683867275715,0.9548899164968405,0.04090936854481697,0.9524675164861718
73,60000000000.0,"P(2,1)",0.002868274925276637,0.9926460513358646,0.005608382169157267,0.9911803371603667
74,60000000000.0,"A(2,2)",0.008721278049051762,0.9909754434784689,0.0058593167923390865,0.9940525924791556
75,60000000000.0,"P(2,2)",0.7358954548835754,-0.2625204000843895,0.7174451947212219,-0.1978379962744119
76,60000000000.0,"A(2,3)",0.008792289532721043,0.9923081481184169,0.004056673496961594,0.995960361539769
77,60000000000.0,"P(2,3)",0.0008739606710150838,0.99907581585633,0.0003437132982071489,0.999618700501161
78,60000000000.0,"A(2,4)",2.7621357730822638e-05,0.9999706054413084,5.2976385632064193e-05,0.9999540746194495
79,60000000000.0,"P(2,4)",0.00945000909268856,0.9902120568057515,0.0027335446793586016,0.9968532231562766
80,60000000000.0,"A(3,1)",2.381723970756866e-05,0.9999761125297327,2.1058185666333884e-05,0.9999784947690467
81,60000000000.0,"P(3,1)",0.013423074036836624,0.9824845997922874,0.000679932301864028,0.9994005385019422
82,60000000000.0,"A(3,2)",0.007196399383246899,0.9932455649675092,0.008690675720572472,0.9949826833683457
83,60000000000.0,"P(3,2)",9.545688226353377e-05,0.999907930642073,9.983437485061586e-05,0.999826275059082
84,60000000000.0,"A(3,3)",0.006457463372498751,0.993173547129589,0.01335952803492546,0.9889723896946302
85,60000000000.0,"P(3,3)",0.4341942369937897,0.41573933802356,0.36245542764663696,0.4833461279051291
86,60000000000.0,"A(3,4)",0.03395882248878479,0.9492643986031355,0.04820128157734871,0.9159792383634247
87,60000000000.0,"P(3,4)",0.020723717287182808,0.9809999517218388,0.007930636405944824,0.9941121350250329
88,60000000000.0,"A(4,1)",0.009163310751318932,0.9901995371764601,0.0210468340665102,0.9547966156997651
